CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d), 0]
14697,14697,09GD058,0,7.27,0,0,0,
14697,14697,07FN019,0,0,0,24445.54,0,
14697,14697,09GB171,4166.4,0,0,0,4166.4,
14697,14697,01AT364,0,2440.14,0,0,0,
14697,14697,11AA037,0,630.19,0,0,0,
14697,14697,09GB237,0,30541.21,0,0,0,
14697,14697,01BW009,0,435905.13,0,0,0,
14697,14697,07JO007,0,113958.94,0,0,0,
14697,14697,07FD383,3391.52,16958.54,0,0,0,
14697,14697,17AA001,0,1412.1,0,0,0,
14697,14697,03FD036,0,4636.4,0,458400,0,
14697,14697,09GB197,0,3849.51,0,0,0,
14697,14697,FD286,0,21486.52,0,0,0,
14697,14697,09PK119,4166.4,0,0,0,4166.4,
14697,14697,07FD340,4620,61156.22,0,0,0,
14697,14697,01DNE01,0,14.27,0,0,0,
14697,14697,08RA005,4027.24,1749.03,0,0,2278.21,
14697,14697,07ELE46,0,12979.54,0,0,0,
14697,14697,09GB041,0,14545.92,0,0,0,
14697,14697,07BC027,0,265.22,0,0,0,
14697,14697,FD712,0,4995.91,0,0,0,
14697,14697,11AA119,0,44.35,0,0,0,
14697,14697,08FD069,0,78.76,0,0,0,
14697,14697,FD1081,17094.52,865039.92,0,0,0,
14697,14697,09GDJD02,0,1000,0,0,0,
14697,14697,01BW012,0,30064.11,0,0,0,
14697,14697,FDE641,0,5479.28,0,0,0,
14697,14697,AHM029,0,2307.06,0,0,0,
14697,14697,FDE782,0,72300.03,0,0,0,
14697,14697,04BL018,0,1503.11,0,0,0,
14697,14697,FDE627,0,11.23,0,0,0,
14697,14697,A1BA029,0,1656.23,0,0,0,
14697,14697,09GB333,0,5000,0,0,0,
14697,14697,07CR123,0,251252.4,0,0,0,
14697,14697,09GB087,4365.44,0,0,0,4365.44,
14697,14697,07BT010,0,182.3,0,0,0,
14697,14697,07EM085,0,20.63,0,0,0,
14697,14697,09GDJB01,282.18,2823.04,0,0,0,
14697,14697,08RA008,10816.81,6760.5,0,0,4056.31,
14697,14697,07CL013,0,5899.5,0,0,0,
14697,14697,01EQ001,3659754.39,7082561.93,0,31591.44,0,
14697,14697,01GB007,29129.14,145812.06,0,0,0,
14697,14697,01AT041,0,69451.88,0,0,0,
14697,14697,09GB282,2347.39,15223.03,0,0,0,
14697,14697,09PK042,4166.4,2795.11,0,0,1371.29,
14697,14697,01AH023,4275170.52,25212611.66,0,0,0,
14697,14697,01CFAK8,4166.4,23752.91,0,0,0,
14697,14697,09GB122,4166.4,0,0,0,4166.4,
14697,14697,09GD016,2347.4,15223.09,0,0,0,
14697,14697,09GDKB01,0,2203.57,0,0,0,
14697,14697,07EM019,0,1050.21,0,0,0,
14697,14697,09FD231,0,0,0,6273.17,0,
14697,14697,07ID024,0,19486.97,0,0,0,
14697,14697,07FN062,0,0,668691,1161560,0,
14697,14697,07FD085,0,17.97,0,0,0,
