AllocDate,Clrtype,Segments,Tmcode,Clicode,Acctype,Allocated
06/08/2024,MCXCCL,CO,55205,,P,1065681363.81
06/08/2024,MCXCCL,CO,55205,01AH070,C,72607463.11
06/08/2024,MCXCCL,CO,55205,01DM006,C,2903781.35
06/08/2024,MCXCCL,CO,55205,01DM013,C,578723.99
06/08/2024,MCXCCL,CO,55205,01DME19,C,2799839.07
06/08/2024,MCXCCL,CO,55205,01EQ001,C,2159096.67
06/08/2024,MCXCCL,CO,55205,01EQ002,C,35702545.94
06/08/2024,MCXCCL,CO,55205,03AF004,C,239.94
06/08/2024,MCXCCL,CO,55205,03AKE02,C,251577.38
06/08/2024,MCXCCL,CO,55205,03FD115,C,4357.97
06/08/2024,MCXCCL,CO,55205,03FD122,C,28049.90
06/08/2024,MCXCCL,CO,55205,04FD257,C,634.10
06/08/2024,MCXCCL,CO,55205,07BC007,C,26558.61
06/08/2024,MCXCCL,CO,55205,07DJ011,C,470.38
06/08/2024,MCXCCL,CO,55205,07DW035,C,61489.17
06/08/2024,MCXCCL,CO,55205,07FD283,C,457565.58
06/08/2024,MCXCCL,CO,55205,07FD367,C,15786.10
06/08/2024,MCXCCL,CO,55205,07FD429,C,42131.19
06/08/2024,MCXCCL,CO,55205,07FDE02,C,460060.12
06/08/2024,MCXCCL,CO,55205,09FD215,C,10986.80
06/08/2024,MCXCCL,CO,55205,09HS015,C,137830.60
06/08/2024,MCXCCL,CO,55205,11AIE07,C,0.00
06/08/2024,MCXCCL,CO,55205,14FD027,C,148858.59
06/08/2024,MCXCCL,CO,55205,14FD059,C,180147.91
06/08/2024,MCXCCL,CO,55205,14FD060,C,136559568.60
06/08/2024,MCXCCL,CO,55205,15FD006,C,0.00
06/08/2024,MCXCCL,CO,55205,A1BA207,C,19397.81
06/08/2024,MCXCCL,CO,55205,FD003,C,508681.14
06/08/2024,MCXCCL,CO,55205,FD1046,C,67622994.43
06/08/2024,MCXCCL,CO,55205,FD1069,C,63586576.22
06/08/2024,MCXCCL,CO,55205,FD1071,C,0.00
06/08/2024,MCXCCL,CO,55205,FD1082,C,751247.85
06/08/2024,MCXCCL,CO,55205,FD1087,C,0.00
06/08/2024,MCXCCL,CO,55205,FD1088,C,0.00
06/08/2024,MCXCCL,CO,55205,FD252,C,9373305.72
06/08/2024,MCXCCL,CO,55205,FD703,C,4374.82
06/08/2024,MCXCCL,CO,55205,FD857,C,23143859.50
06/08/2024,MCXCCL,CO,55205,FDE527,C,19517.02
06/08/2024,MCXCCL,CO,55205,FDE841,C,182766.08
06/08/2024,MCXCCL,CO,55205,FDI001,C,5080.87
06/08/2024,MCXCCL,CO,55205,FDI019,C,9781.11
06/08/2024,MCXCCL,CO,55205,FDL025,C,0.00
