CM Code,TM Code/CP Code,Client/CP Code,Cash Equivalent,Securities Cash Component,Total Cash Component,Securities Non cash,Commodities Non Cash,Other Non Cash,Total Non Cash,Total Collateral (Cash and Non Cash),Commodities Considered,Total Non Cash Considered,Gross Effective Deposits,Blocked Amount,Net Effective Deposits Before Member Excess Cash ALC,Excess Cash,Excess Non Cash,Member Cash Allocation Limit,TM Excess Cash Allocation,CM Excess Cash Allocation,Net Effective Deposits After Member Excess Cash ALC,Margin,Margin Time Stamp,,
M51105,1152,14FD06011,28562260,0,28562260,0,0,0,0,28562260,0,0,28562260,5000000,23562260,28562260,0,0,0,0,23562260,0,09:20:40,,23562260
M51105,1152,03FD011,399.91,0,399.91,0,0,0,0,399.91,0,0,399.91,0,399.91,0,0,0,0,0,399.91,0,09:20:40,,
M51105,1152,FD1071,4452628.56,0,4452628.56,0,0,0,0,4452628.56,0,0,4452628.56,0,4452628.56,0,0,0,0,0,4452628.56,3393597.5,09:20:40,,
M51105,1152,07FD367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,FD181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,09MN012,167295.83,0,167295.83,0,0,0,0,167295.83,0,0,167295.83,0,167295.83,0,0,0,0,0,167295.83,160890,09:20:40,,
M51105,1152,A1BA178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,16FD003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,01AH070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,01FK053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,07AD013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,01AT051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,07DW079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,FD234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,01AT022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,FD067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,FD244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,FDE639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,FD781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,11FD020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,03AK037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
M51105,1152,14FD060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09:20:40,,
